SEXO;GRUPO_EDAD1;MES;Muertes
Masculino;21;2;838
Masculino;21;3;929
Masculino;21;4;919
Masculino;21;5;936
Masculino;21;6;981
Masculino;21;7;1001
Masculino;21;8;1038
Masculino;21;9;894
Masculino;21;10;949
Masculino;21;11;967
Masculino;21;12;1024
Masculino;22;1;1164
Masculino;22;2;931
Masculino;22;3;1067
Masculino;22;4;1010
Masculino;22;5;1007
Masculino;22;6;1100
Masculino;22;7;1051
Masculino;22;8;1097
Masculino;22;9;1022
Masculino;22;10;1154
Masculino;22;11;1091
Masculino;22;12;1176
Masculino;23;1;1296
Masculino;23;2;1056
Masculino;23;3;1119
Masculino;23;4;1160
Masculino;23;5;1209
Masculino;23;6;1196
Masculino;23;7;1277
Masculino;23;8;1229
Masculino;23;9;1176
Masculino;23;10;1214
Masculino;23;11;1191
Masculino;23;12;1257
Masculino;24;1;1377
Masculino;24;2;1090
Masculino;24;3;1218
Masculino;24;4;1221
Masculino;24;5;1258
Masculino;24;6;1289
Masculino;24;7;1376
Masculino;24;8;1263
Masculino;24;9;1204
Masculino;24;10;1303
Masculino;24;11;1211
Masculino;24;12;1346
Masculino;25;1;1179
Masculino;25;2;901
Masculino;25;3;1019
Masculino;25;4;1030
Masculino;25;5;1077
Masculino;25;6;1078
Masculino;25;7;1125
Masculino;25;8;1125
Masculino;25;9;988
Masculino;25;10;1096
Masculino;25;11;1055
Masculino;25;12;1066
Masculino;26;1;678
Masculino;26;2;570
Masculino;26;3;642
Masculino;26;4;610
Masculino;26;5;631
Masculino;26;6;646
Masculino;26;7;688
Masculino;26;8;677
Masculino;26;9;651
Masculino;26;10;671
Masculino;26;11;627
Masculino;26;12;661
Masculino;27;1;230
Masculino;27;2;213
Masculino;27;3;205
Masculino;27;4;233
Masculino;27;5;225
Masculino;27;6;270
Masculino;27;7;234
Masculino;27;8;245
Masculino;27;9;228
Masculino;27;10;211
Masculino;27;11;245
Masculino;27;12;230
Masculino;28;1;49
Masculino;28;2;37
Masculino;28;3;43
Masculino;28;4;48
Masculino;28;5;56
Masculino;28;6;48
Masculino;28;7;47
Masculino;28;8;53
Masculino;28;9;50
Masculino;28;10;57
Masculino;28;11;53
Masculino;28;12;49
Masculino;29;2;1
Masculino;29;3;1
