COD_MUNICIPIO;MES;SEXO;Muertes;MUNICIPIO
1;2;Femenino;34;SINCELEJO
1;2;Femenino;34;IBAGUÉ
1;2;Femenino;34;CALI
1;2;Femenino;34;MITÚ
1;2;Femenino;34;PUERTO CARREÑO
1;3;Masculino;464;LETICIA
1;3;Masculino;464;MEDELLÍN
1;3;Masculino;464;ARAUCA
1;3;Masculino;464;SAN ANDRÉS
1;3;Masculino;464;BARRANQUILLA
1;3;Masculino;464;BOGOTÁ, D.C.
1;3;Masculino;464;TUNJA
1;3;Masculino;464;MANIZALES
1;3;Masculino;464;FLORENCIA
1;3;Masculino;464;CARTAGENA DE INDIAS
1;3;Masculino;464;YOPAL
1;3;Masculino;464;POPAYÁN
1;3;Masculino;464;VALLEDUPAR
1;3;Masculino;464;QUIBDÓ
1;3;Masculino;464;MONTERÍA
1;3;Masculino;464;AGUA DE DIOS
1;3;Masculino;464;INÍRIDA
1;3;Masculino;464;SAN JOSÉ DEL GUAVIARE
1;3;Masculino;464;NEIVA
1;3;Masculino;464;RIOHACHA
1;3;Masculino;464;VILLAVICENCIO
1;3;Masculino;464;PASTO
1;3;Masculino;464;CÚCUTA
1;3;Masculino;464;MOCOA
1;3;Masculino;464;ARMENIA
1;3;Masculino;464;PEREIRA
1;3;Masculino;464;SANTA MARTA
1;3;Masculino;464;BUCARAMANGA
1;3;Masculino;464;SINCELEJO
1;3;Masculino;464;IBAGUÉ
1;3;Masculino;464;CALI
1;3;Masculino;464;MITÚ
1;3;Masculino;464;PUERTO CARREÑO
1;3;Femenino;38;LETICIA
1;3;Femenino;38;MEDELLÍN
1;3;Femenino;38;ARAUCA
1;3;Femenino;38;SAN ANDRÉS
1;3;Femenino;38;BARRANQUILLA
1;3;Femenino;38;BOGOTÁ, D.C.
1;3;Femenino;38;TUNJA
1;3;Femenino;38;MANIZALES
1;3;Femenino;38;FLORENCIA
1;3;Femenino;38;CARTAGENA DE INDIAS
1;3;Femenino;38;YOPAL
1;3;Femenino;38;POPAYÁN
1;3;Femenino;38;VALLEDUPAR
1;3;Femenino;38;QUIBDÓ
1;3;Femenino;38;MONTERÍA
1;3;Femenino;38;AGUA DE DIOS
1;3;Femenino;38;INÍRIDA
1;3;Femenino;38;SAN JOSÉ DEL GUAVIARE
1;3;Femenino;38;NEIVA
1;3;Femenino;38;RIOHACHA
1;3;Femenino;38;VILLAVICENCIO
1;3;Femenino;38;PASTO
1;3;Femenino;38;CÚCUTA
1;3;Femenino;38;MOCOA
1;3;Femenino;38;ARMENIA
1;3;Femenino;38;PEREIRA
1;3;Femenino;38;SANTA MARTA
1;3;Femenino;38;BUCARAMANGA
1;3;Femenino;38;SINCELEJO
1;3;Femenino;38;IBAGUÉ
1;3;Femenino;38;CALI
1;3;Femenino;38;MITÚ
1;3;Femenino;38;PUERTO CARREÑO
1;3;No Definido;3;LETICIA
1;3;No Definido;3;MEDELLÍN
1;3;No Definido;3;ARAUCA
1;3;No Definido;3;SAN ANDRÉS
1;3;No Definido;3;BARRANQUILLA
1;3;No Definido;3;BOGOTÁ, D.C.
1;3;No Definido;3;TUNJA
1;3;No Definido;3;MANIZALES
1;3;No Definido;3;FLORENCIA
1;3;No Definido;3;CARTAGENA DE INDIAS
1;3;No Definido;3;YOPAL
1;3;No Definido;3;POPAYÁN
1;3;No Definido;3;VALLEDUPAR
1;3;No Definido;3;QUIBDÓ
1;3;No Definido;3;MONTERÍA
1;3;No Definido;3;AGUA DE DIOS
1;3;No Definido;3;INÍRIDA
1;3;No Definido;3;SAN JOSÉ DEL GUAVIARE
1;3;No Definido;3;NEIVA
1;3;No Definido;3;RIOHACHA
1;3;No Definido;3;VILLAVICENCIO
1;3;No Definido;3;PASTO
1;3;No Definido;3;CÚCUTA
1;3;No Definido;3;MOCOA
1;3;No Definido;3;ARMENIA
1;3;No Definido;3;PEREIRA
1;3;No Definido;3;SANTA MARTA
1;3;No Definido;3;BUCARAMANGA
1;3;No Definido;3;SINCELEJO
1;3;No Definido;3;IBAGUÉ
1;3;No Definido;3;CALI
1;3;No Definido;3;MITÚ
1;3;No Definido;3;PUERTO CARREÑO
1;4;Masculino;434;LETICIA
1;4;Masculino;434;MEDELLÍN
1;4;Masculino;434;ARAUCA
1;4;Masculino;434;SAN ANDRÉS
1;4;Masculino;434;BARRANQUILLA
1;4;Masculino;434;BOGOTÁ, D.C.
1;4;Masculino;434;TUNJA
1;4;Masculino;434;MANIZALES
1;4;Masculino;434;FLORENCIA
1;4;Masculino;434;CARTAGENA DE INDIAS
1;4;Masculino;434;YOPAL
1;4;Masculino;434;POPAYÁN
1;4;Masculino;434;VALLEDUPAR
1;4;Masculino;434;QUIBDÓ
1;4;Masculino;434;MONTERÍA
1;4;Masculino;434;AGUA DE DIOS
1;4;Masculino;434;INÍRIDA
1;4;Masculino;434;SAN JOSÉ DEL GUAVIARE
1;4;Masculino;434;NEIVA
1;4;Masculino;434;RIOHACHA
1;4;Masculino;434;VILLAVICENCIO
1;4;Masculino;434;PASTO
1;4;Masculino;434;CÚCUTA
1;4;Masculino;434;MOCOA
1;4;Masculino;434;ARMENIA
1;4;Masculino;434;PEREIRA
1;4;Masculino;434;SANTA MARTA
1;4;Masculino;434;BUCARAMANGA
1;4;Masculino;434;SINCELEJO
1;4;Masculino;434;IBAGUÉ
1;4;Masculino;434;CALI
1;4;Masculino;434;MITÚ
1;4;Masculino;434;PUERTO CARREÑO
1;4;Femenino;40;LETICIA
1;4;Femenino;40;MEDELLÍN
1;4;Femenino;40;ARAUCA
1;4;Femenino;40;SAN ANDRÉS
1;4;Femenino;40;BARRANQUILLA
1;4;Femenino;40;BOGOTÁ, D.C.
1;4;Femenino;40;TUNJA
1;4;Femenino;40;MANIZALES
1;4;Femenino;40;FLORENCIA
1;4;Femenino;40;CARTAGENA DE INDIAS
1;4;Femenino;40;YOPAL
1;4;Femenino;40;POPAYÁN
1;4;Femenino;40;VALLEDUPAR
1;4;Femenino;40;QUIBDÓ
1;4;Femenino;40;MONTERÍA
1;4;Femenino;40;AGUA DE DIOS
1;4;Femenino;40;INÍRIDA
1;4;Femenino;40;SAN JOSÉ DEL GUAVIARE
1;4;Femenino;40;NEIVA
1;4;Femenino;40;RIOHACHA
1;4;Femenino;40;VILLAVICENCIO
1;4;Femenino;40;PASTO
1;4;Femenino;40;CÚCUTA
1;4;Femenino;40;MOCOA
1;4;Femenino;40;ARMENIA
1;4;Femenino;40;PEREIRA
1;4;Femenino;40;SANTA MARTA
1;4;Femenino;40;BUCARAMANGA
1;4;Femenino;40;SINCELEJO
1;4;Femenino;40;IBAGUÉ
1;4;Femenino;40;CALI
1;4;Femenino;40;MITÚ
1;4;Femenino;40;PUERTO CARREÑO
1;5;Masculino;448;LETICIA
1;5;Masculino;448;MEDELLÍN
1;5;Masculino;448;ARAUCA
1;5;Masculino;448;SAN ANDRÉS
1;5;Masculino;448;BARRANQUILLA
1;5;Masculino;448;BOGOTÁ, D.C.
1;5;Masculino;448;TUNJA
1;5;Masculino;448;MANIZALES
1;5;Masculino;448;FLORENCIA
1;5;Masculino;448;CARTAGENA DE INDIAS
1;5;Masculino;448;YOPAL
1;5;Masculino;448;POPAYÁN
1;5;Masculino;448;VALLEDUPAR
1;5;Masculino;448;QUIBDÓ
1;5;Masculino;448;MONTERÍA
1;5;Masculino;448;AGUA DE DIOS
1;5;Masculino;448;INÍRIDA
1;5;Masculino;448;SAN JOSÉ DEL GUAVIARE
1;5;Masculino;448;NEIVA
1;5;Masculino;448;RIOHACHA
1;5;Masculino;448;VILLAVICENCIO
1;5;Masculino;448;PASTO
1;5;Masculino;448;CÚCUTA
1;5;Masculino;448;MOCOA
1;5;Masculino;448;ARMENIA
1;5;Masculino;448;PEREIRA
1;5;Masculino;448;SANTA MARTA
1;5;Masculino;448;BUCARAMANGA
1;5;Masculino;448;SINCELEJO
1;5;Masculino;448;IBAGUÉ
